Vehicle_ID,Timestamp,Speed_kmh,Acceleration_ms2,Battery_State_%,Battery_Voltage_V,Battery_Temperature_C,Driving_Mode,Road_Type,Traffic_Condition,Slope_%,Weather_Condition,Temperature_C,Humidity_%,Wind_Speed_ms,Tire_Pressure_psi,Vehicle_Weight_kg,Distance_Travelled_km,Energy_Consumption_kWh,,,Range_km
1102,1/1/2024 0:00,111.50736643582246,-2.773815657,30.41514793606419,378.09152521545263,25.314786380149993,2,1,1,6.879445723818213,4,0.741770214,42.17253328021907,7.829253296749894,31.112020262654163,1822.967367715762,20.757508428820994,12.054316837893046,,,52.37482125
1435,1/1/2024 0:01,48.61232334330797,-0.796982246,97.38553378,392.71837688793477,18.24075509694301,1,2,1,-3.007212319,4,-3.495516154,57.01842689319608,4.495571702623077,31.504365578709763,2091.8319138377155,0.6429176296592819,4.488701048,,,13.94855123
1860,1/1/2024 0:02,108.73332025589964,0.25379985372647473,84.91260022,398.99349514629995,44.44914530455246,1,1,3,0.029584526251101195,1,9.248274673124497,69.02891114196613,5.144488600630693,33.83801470718437,1816.7024972222566,40.84282360003485,11.70137693672586,,,296.3813892
1270,1/1/2024 0:03,38.57948414974584,-2.111395208,28.777904099769607,358.12827319610597,28.980154865397843,1,2,2,8.271943046,3,2.8684089901268166,86.63834947009246,4.5182832538230375,33.25601449,1283.1026415009658,5.305228735924097,7.389265564508191,,,20.66150722
1106,1/1/2024 0:04,57.17243836125499,1.477882875414461,29.740159811814273,310.8881616031166,33.18455111284055,2,1,1,2.7768144260838143,2,16.75024402320902,27.189184748972096,4.263405720024597,33.57967828,2160.3507875871123,5.825925674399545,6.761205202007953,,,25.62619465
1071,1/1/2024 0:05,27.123479737919965,-2.949871775,67.55790839300951,345.91299077754365,19.75870476863438,1,3,1,1.0192223120085853,4,1.6298736724197376,31.005869260044385,10.401325087628466,34.07530664690162,1275.0747733375897,2.5100910607799958,4.319060504,,,39.26235851
1700,1/1/2024 0:06,76.85712506110127,-1.988405709,47.591133933854664,378.7601146461644,21.262891800566308,3,2,2,8.582446483762626,4,1.2067481426024083,55.620962663584685,9.753955489719262,31.33249644344908,1831.921072182438,10.101039527342744,9.285725137,,,51.76977758
1020,1/1/2024 0:07,117.47773382097706,0.4847809791208544,22.792468725848742,302.7725324761849,21.741166994940457,1,3,3,-3.599832133,2,34.464054284673225,49.29324728050328,3.063963519346862,33.46176647,2320.2197624769533,8.923132449569461,10.154375379907354,,,20.02882597
1614,1/1/2024 0:08,72.41917152520544,1.2863253722237538,63.33132062664425,305.6887438356149,34.455749680260524,1,3,1,2.0968417435338456,1,36.45826156,48.755731247856644,10.372780801500511,28.47623166083807,1352.5936100364434,17.458505220815894,8.734982030592302,,,126.5795611
1121,1/1/2024 0:09,42.93769009362586,2.499858616163497,51.02760797486775,306.71577823828216,26.579717269125798,1,3,2,4.785611469630284,3,38.38972938645595,40.78730520553073,4.366028939117168,31.11182495925377,2118.616286213689,32.997592673126384,9.139607590819022,,,184.2298158
1466,1/1/2024 0:10,77.73809351886341,1.2329799116077433,28.086119389739412,373.1035758328311,28.118927838552604,3,3,2,4.128121585225188,3,25.622609929326035,59.24793589562693,3.025775018247034,28.210928724087488,1260.2263032163964,2.809281958661103,9.355296347,,,8.433920804
1214,1/1/2024 0:11,14.750481415846508,1.0306756215291957,84.15363138047861,350.1166628563172,30.720104375577087,1,2,3,-1.035853184,2,29.69574271581412,81.83018353160014,11.208778206028912,34.40720545723016,2490.9775040231993,43.02776043272184,6.935742891556282,,,522.0698557
